Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/distributed/test_c10d_functional_native.py,32.0,31.0,1.0,0.0,,,,
test/distributed/test_c10d_gloo.py,246.0,243.0,3.0,0.0,,,,
test/distributed/test_c10d_logger.py,2.0,2.0,0.0,0.0,,,,
test/distributed/test_c10d_nccl.py,227.0,221.0,6.0,0.0,,,,
test/distributed/test_c10d_object_collectives.py,9.0,9.0,0.0,0.0,,,,
test/distributed/test_c10d_ops_nccl.py,30.0,28.0,2.0,0.0,,,,
test/distributed/test_c10d_pypg.py,48.0,48.0,0.0,0.0,,,,
test/distributed/test_c10d_spawn_gloo.py,11.0,11.0,0.0,0.0,,,,
test/distributed/test_c10d_spawn_nccl.py,10.0,10.0,0.0,0.0,,,,
test/distributed/test_c10d_spawn_ucc.py,6.0,0.0,6.0,0.0,,,,
test/distributed/test_collective_utils.py,9.0,9.0,0.0,0.0,,,,
test/distributed/test_composability.py,13.0,13.0,0.0,0.0,,,,
test/distributed/test_compute_comm_reordering.py,8.0,8.0,0.0,0.0,,,,
test/distributed/test_control_collectives.py,13.0,13.0,0.0,0.0,,,,
test/distributed/test_cupy_as_tensor.py,1.0,0.0,1.0,0.0,,,,
test/distributed/test_data_parallel.py,46.0,46.0,0.0,0.0,,,,
test/distributed/test_device_mesh.py,64.0,64.0,0.0,0.0,,,,
test/distributed/test_dist2.py,34.0,22.0,12.0,0.0,,,,
test/distributed/test_distributed_spawn.py,280.0,252.0,28.0,0.0,,,,
test/distributed/test_dynamo_distributed.py,60.0,52.0,8.0,0.0,,,,
test/distributed/test_fake_pg.py,16.0,16.0,0.0,0.0,,,,
test/distributed/test_functional_api.py,11.0,11.0,0.0,0.0,,,,
test/distributed/test_inductor_collectives.py,64.0,64.0,0.0,0.0,,,,
test/distributed/test_launcher.py,1.0,1.0,0.0,0.0,,,,
test/distributed/test_local_tensor.py,17.0,17.0,0.0,0.0,,,,
test/distributed/test_multi_threaded_pg.py,22.0,22.0,0.0,0.0,,,,
test/distributed/test_nccl.py,13.0,13.0,0.0,0.0,,,,
test/distributed/test_nvshmem.py,45.0,45.0,0.0,0.0,,,,
test/distributed/test_nvshmem_triton.py,37.0,0.0,37.0,0.0,,,,
test/distributed/test_p2p_ipc.py,1.0,1.0,0.0,0.0,,,,
test/distributed/test_pg_wrapper.py,17.0,17.0,0.0,0.0,,,,
test/distributed/test_run.py,4.0,4.0,0.0,0.0,,,,
test/distributed/test_serialization.py,11.0,11.0,0.0,0.0,,,,
test/distributed/test_store.py,120.0,108.0,12.0,0.0,,,,
test/distributed/test_symmetric_memory.py,96.0,41.0,55.0,0.0,,,,
test/distributions/test_distributions.py,230.0,230.0,0.0,0.0,230.0,228.0,2.0,0.0
test/dynamo/test_activation_checkpointing.py,35.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0
test/dynamo/test_after_aot.py,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
test/dynamo/test_aot_autograd.py,50.0,49.0,1.0,0.0,50.0,49.0,1.0,0.0
test/dynamo/test_aot_autograd_cache.py,102.0,83.0,19.0,0.0,102.0,66.0,36.0,0.0
test/dynamo/test_aot_compile.py,13.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0
test/dynamo/test_autograd_function.py,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0
test/dynamo/test_backends.py,21.0,17.0,4.0,0.0,9.0,8.0,1.0,0.0
test/dynamo/test_backward_higher_order_ops.py,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0
test/dynamo/test_base_hop.py,11.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0
test/dynamo/test_base_output.py,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
test/dynamo/test_buffers_override.py,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
test/dynamo/test_bytecode_utils.py,20.0,8.0,12.0,0.0,20.0,8.0,12.0,0.0
test/dynamo/test_callback.py,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
test/dynamo/test_compile.py,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0
test/dynamo/test_compiler_bisector.py,8.0,6.0,2.0,0.0,8.0,0.0,8.0,0.0
test/dynamo/test_comptime.py,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0
test/dynamo/test_config.py,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0
test/dynamo/test_ctx_manager.py,101.0,98.0,3.0,0.0,101.0,81.0,20.0,0.0
test/dynamo/test_cudagraphs.py,8.0,8.0,0.0,0.0,,,,
test/dynamo/test_cudagraphs_expandable_segments.py,8.0,8.0,0.0,0.0,,,,
test/dynamo/test_debug_utils.py,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
test/dynamo/test_decorators.py,70.0,68.0,2.0,0.0,70.0,68.0,2.0,0.0
test/dynamo/test_deque_reconstruct.py,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
test/dynamo/test_deviceguard.py,4.0,3.0,1.0,0.0,4.0,2.0,2.0,0.0
test/dynamo/test_dicts.py,127.0,124.0,3.0,0.0,127.0,124.0,3.0,0.0
test/dynamo/test_dynamic_shapes.py,1938.0,1888.0,50.0,0.0,1938.0,1865.0,73.0,0.0
test/dynamo/test_einops.py,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
test/dynamo/test_error_messages.py,43.0,41.0,2.0,0.0,43.0,41.0,2.0,0.0
test/dynamo/test_exc.py,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0
test/dynamo/test_exceptions.py,49.0,49.0,0.0,0.0,50.0,50.0,0.0,0.0
test/dynamo/test_export.py,187.0,183.0,4.0,0.0,184.0,180.0,4.0,0.0
test/dynamo/test_export_mutations.py,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0
test/dynamo/test_fake_distributed.py,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
test/dynamo/test_flat_apply.py,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
test/dynamo/test_frame_init.py,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
test/dynamo/test_functions.py,471.0,467.0,4.0,0.0,471.0,465.0,6.0,0.0
test/dynamo/test_fx_annotate.py,5.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0
test/dynamo/test_fx_graph_runnable.py,15.0,11.0,4.0,0.0,15.0,11.0,4.0,0.0
test/dynamo/test_fx_passes_pre_grad.py,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
test/dynamo/test_generator.py,78.0,75.0,3.0,0.0,78.0,75.0,3.0,0.0
test/dynamo/test_global.py,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0
test/dynamo/test_graph_deduplication.py,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0
test/dynamo/test_graph_region_tracker.py,13.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0
test/dynamo/test_guard_manager.py,38.0,38.0,0.0,0.0,38.0,37.0,1.0,0.0
test/dynamo/test_guard_serialization.py,54.0,53.0,1.0,0.0,54.0,52.0,2.0,0.0
test/dynamo/test_higher_order_ops.py,229.0,227.0,2.0,0.0,217.0,210.0,7.0,0.0
test/dynamo/test_hooks.py,34.0,34.0,0.0,0.0,34.0,34.0,0.0,0.0
test/dynamo/test_inline_and_install.py,184.0,180.0,4.0,0.0,184.0,180.0,4.0,0.0
test/dynamo/test_input_attr_tracking.py,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0
test/dynamo/test_install_free_tensors.py,25.0,24.0,1.0,0.0,25.0,24.0,1.0,0.0
test/dynamo/test_interop.py,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0
test/dynamo/test_list.py,39.0,39.0,0.0,0.0,39.0,39.0,0.0,0.0
test/dynamo/test_logging.py,51.0,46.0,5.0,0.0,51.0,43.0,8.0,0.0
test/dynamo/test_metrics_context.py,9.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0
test/dynamo/test_minifier.py,15.0,14.0,1.0,0.0,15.0,14.0,1.0,0.0
test/dynamo/test_misc.py,621.0,606.0,15.0,0.0,621.0,602.0,19.0,0.0
test/dynamo/test_model_output.py,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0
test/dynamo/test_modes.py,28.0,28.0,0.0,0.0,28.0,26.0,2.0,0.0
test/dynamo/test_modules.py,134.0,134.0,0.0,0.0,134.0,134.0,0.0,0.0
test/dynamo/test_nested_graph_breaks.py,16.0,16.0,0.0,0.0,16.0,16.0,0.0,0.0
test/dynamo/test_nops.py,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
test/dynamo/test_optimizers.py,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
